x,m,c,b,f,V,T
8.904,5.72738798823e-10,0.302807645175,0.657734377713,0.81436149699,0,5.25225634185e-19
8.916,5.55627551568e-10,0.302807645175,0.657734377713,0.814361496991,8.881784197e-16,4.94300239636e-19
8.928,5.39027524148e-10,0.302807645176,0.657734377714,0.814361496991,-4.4408920985e-16,4.65195831761e-19
8.94,5.22923441456e-10,0.302807645176,0.657734377714,0.814361496991,0,4.37805175217e-19
8.952,5.07300484623e-10,0.302807645177,0.657734377714,0.814361496991,0,4.12027350627e-19
8.964,4.92144281485e-10,0.302807645177,0.657734377715,0.814361496992,-2.22044604925e-16,3.87767389645e-19
8.976,4.77440888822e-10,0.302807645177,0.657734377715,0.814361496992,-2.22044604925e-16,3.64935912984e-19
8.988,4.63176778285e-10,0.302807645178,0.657734377715,0.814361496992,2.22044604925e-16,3.43448803395e-19
9,4.49338824245e-10,0.302807645178,0.657734377716,0.814361496992,-2.22044604925e-16,3.23226895431e-19
9.012,4.3591429311e-10,0.302807645178,0.657734377716,0.814361496993,0,3.04195685941e-19
9.024,4.22890835131e-10,0.302807645179,0.657734377716,0.814361496993,-4.4408920985e-16,2.86285062406e-19
9.036,4.10256469146e-10,0.302807645179,0.657734377716,0.814361496993,-4.4408920985e-16,2.69429041787e-19
9.048,3.97999570485e-10,0.302807645179,0.657734377717,0.814361496993,-2.22044604925e-16,2.53565523911e-19
9.06,3.86108860524e-10,0.302807645179,0.657734377717,0.814361496993,-4.4408920985e-16,2.38636064648e-19
9.072,3.74573397513e-10,0.30280764518,0.657734377717,0.814361496994,-4.4408920985e-16,2.24585661699e-19
9.084,3.63382569531e-10,0.30280764518,0.657734377717,0.814361496994,2.22044604925e-16,2.113625536e-19
9.096,3.52526081375e-10,0.30280764518,0.657734377717,0.814361496994,0,1.98918028805e-19
9.108,3.41993944172e-10,0.30280764518,0.657734377718,0.814361496994,2.22044604925e-16,1.87206241436e-19
9.12,3.31776466399e-10,0.302807645181,0.657734377718,0.814361496994,0,1.76184044178e-19
9.132,3.21864246001e-10,0.302807645181,0.657734377718,0.814361496994,2.22044604925e-16,1.65810830566e-19
9.144,3.12248164344e-10,0.302807645181,0.657734377718,0.814361496994,0,1.56048388106e-19
9.156,3.02919374939e-10,0.302807645181,0.657734377718,0.814361496995,-1.11022302463e-15,1.46860754075e-19
9.168,2.93869294523e-10,0.302807645181,0.657734377719,0.814361496995,2.22044604925e-16,1.38214082817e-19
9.18,2.85089595341e-10,0.302807645182,0.657734377719,0.814361496995,1.7763568394e-15,1.30076519503e-19
9.192,2.76572198374e-10,0.302807645182,0.657734377719,0.814361496995,6.66133814775e-16,1.22418086854e-19
9.204,2.68309268136e-10,0.302807645182,0.657734377719,0.814361496995,4.4408920985e-16,1.15210573657e-19
